[1]	[1]
[28,7,2,6,26,12,9,17,20,3,27,2,23,25,11,7,28,29,4,11,16,24,3,15,14,18,27,13,23,25,10,21,24,5,27,20,17,28,29,29,23,19,24,16,14,5,15,5,26,20,16,12,6,19,19,12,29]	[28,7,2,6,26,12,9,17,20,3,27,2,23,25,11,7,28,29,4,11,16,24,3,15,14,18,27,13,23,25,10,21,24,5,27,20,17,28,29,29,23,19,24,16,14,5,15,5,26,20,16,12,6,19,19,29,12]
[25,15,3,28,6,27,3,26,10,12,16,9,3,10,28,27,26,5,2,4,10,20,16,18,25,14,29,14,26,28,23,22,13,26,12,12,24,7,0,4,19,16,5,14,26,4,12,15,1,6,11,3,27,27,21,22]	[25,15,3,28,6,27,3,26,10,12,16,9,3,10,28,27,26,5,2,4,10,20,16,18,25,14,29,14,26,28,23,22,13,26,12,12,24,7,0,4,19,16,5,14,26,4,12,15,1,6,11,3,27,27,22,21]
[20,28,29,10,21,13,24,18,25,28,12,2,20,16,13,6,21,20,25,17,24,2,10,0,13,13,19,10,4,3,13,24,2,4,5,23,18,21,11,13,11,15,8,1,23,13,29,7,25,24,24]	[20,28,29,10,21,13,24,18,25,28,12,2,20,16,13,6,21,20,25,17,24,2,10,0,13,13,19,10,4,3,13,24,2,4,5,23,18,21,11,13,11,15,8,1,23,13,29,24,7,24,25]
[26,27,12,1,10,1,3,7,27,16,23,29,21,20,14,1,11,18,6,14,3,14,7,27,20,7,4,15,23,20,27,12,9,9,13,20,2,17,19,29,25,12,20,8,3,5,9,6,15,16,13,10,22,20,7,4,27,3,20]	[26,27,12,1,10,1,3,7,27,16,23,29,21,20,14,1,11,18,6,14,3,14,7,27,20,7,4,15,23,20,27,12,9,9,13,20,2,17,19,29,25,12,20,8,3,5,9,6,15,16,13,10,22,20,7,4,27,20,3]
[16,17,25,17,18,8,29,20,17,18,20,13,1,10,13,26,7,23,2,22,1,15,3,23,28,2,28,25,28,10,8,6,19,3,23,7,4,23,27,21,3,9,26,4,12,10,22,19,25,17,4]	[16,17,25,17,18,8,29,20,17,18,20,13,1,10,13,26,7,23,2,22,1,15,3,23,28,2,28,25,28,10,8,6,19,3,23,7,4,23,27,21,3,9,26,4,12,10,22,25,4,17,19]
[24,29,11,22,23,1,18,21,3,18,19,22,14,5,21,10,20,11,23,23,20,20,20,2,22,12,14,17,29,18,5,24,17,8,16,10,10,26,24,13,7,5,28,21,10,19,23,0,22,16,24,13,28,6,7,20]	[24,29,11,22,23,1,18,21,3,18,19,22,14,5,21,10,20,11,23,23,20,20,20,2,22,12,14,17,29,18,5,24,17,8,16,10,10,26,24,13,7,5,28,21,10,19,23,0,22,16,24,13,28,6,20,7]
[21,29,18,1,26,4,18,5,20,21,15,9,7,20,16,12,18,29,15,0,22,7,22,8,1,27,7,29,27,19,18,18,19,28,20,15,2,0,12,14,13,27,23,20,10,1,25,28,0,10,20,14,17,5,23,11,24,22]	[21,29,18,1,26,4,18,5,20,21,15,9,7,20,16,12,18,29,15,0,22,7,22,8,1,27,7,29,27,19,18,18,19,28,20,15,2,0,12,14,13,27,23,20,10,1,25,28,0,10,20,14,17,5,23,22,11,24]
[21,3,20,10,14,18,22,22,20,22,4,5,28,24,20,18,4,22,5,24,22,7,15,7,25,12,22,28,6,6,0,20,9,21,22,16,9,14,8,22,28,12,27,18,6,17,7,10,9,4]	[21,3,20,10,14,18,22,22,20,22,4,5,28,24,20,18,4,22,5,24,22,7,15,7,25,12,22,28,6,6,0,20,9,21,22,16,9,14,8,22,28,12,27,18,6,17,9,4,7,10]
[24,12,12,23,29,16,15,27,14,13,19,4,14,10,26,0,12,2,8,4,23,21,1,11,19,10,10,0,12,15,27,6,19,1,29,18,17,6,15,1,11,4,28,25,7,16,26,19,11,4,23,26,17,16,29]	[24,12,12,23,29,16,15,27,14,13,19,4,14,10,26,0,12,2,8,4,23,21,1,11,19,10,10,0,12,15,27,6,19,1,29,18,17,6,15,1,11,4,28,25,7,16,26,19,11,4,23,26,17,29,16]
[26,10,29,0,17,26,6,28,27,27,16,6,25,23,7,6,19,27,2,26,14,20,7,25,24,0,21,12,8,20,11,5,22,10,27,1,6,4,29,25,23,15,1,11,0,0,17,20,28,11,16,4,1,24,29,18,16]	[26,10,29,0,17,26,6,28,27,27,16,6,25,23,7,6,19,27,2,26,14,20,7,25,24,0,21,12,8,20,11,5,22,10,27,1,6,4,29,25,23,15,1,11,0,0,17,20,28,11,16,4,1,29,16,18,24]
[22,25,2,3,22,17,13,19,10,11,15,10,6,9,17,29,12,18,29,29,8,19,3,16,23,26,10,14,14,19,26,6,14,21,9,28,0,14,9,10,25,25,20,1,26,0,22,8,18,14,29,18]	[22,25,2,3,22,17,13,19,10,11,15,10,6,9,17,29,12,18,29,29,8,19,3,16,23,26,10,14,14,19,26,6,14,21,9,28,0,14,9,10,25,25,20,1,26,0,22,8,18,18,14,29]
[24,4,19,21,7,25,27,26,22,4,2,5,5,0,5,12,9,7,7,26,28,1,22,20,23,22,8,7,14,26,3,8,0,14,29,7,9,27,25,1,23,27,28,20,19,25,2,21,3,2,17,23,3]	[24,4,19,21,7,25,27,26,22,4,2,5,5,0,5,12,9,7,7,26,28,1,22,20,23,22,8,7,14,26,3,8,0,14,29,7,9,27,25,1,23,27,28,20,19,25,2,21,3,2,23,3,17]
[13,18,16,21,26,0,9,21,9,1,5,0,9,14,19,26,8,12,24,6,25,13,24,27,4,27,21,14,20,24,8,3,13,24,16,1,25,25,14,26,26,19,26,27,25,16,24,3,20,10,2,15]	[13,18,16,21,26,0,9,21,9,1,5,0,9,14,19,26,8,12,24,6,25,13,24,27,4,27,21,14,20,24,8,3,13,24,16,1,25,25,14,26,26,19,26,27,25,16,24,3,20,10,15,2]
[18,5,20,15,26,26,27,13,4,0,18,20,8,11,15,3,25,11,21,14,0,11,1,8,5,27,28,15,21,6,0,9,11,12,24,29,0,21,4,4,13,22,25,21,3,2,16,20,6,29,26,28,10]	[18,5,20,15,26,26,27,13,4,0,18,20,8,11,15,3,25,11,21,14,0,11,1,8,5,27,28,15,21,6,0,9,11,12,24,29,0,21,4,4,13,22,25,21,3,2,16,20,6,29,28,10,26]
[6,7,25,4,14,16,10,15,25,13,19,11,5,20,24,9,16,7,24,3,20,19,6,6,10,4,5,28,2,8,26,8,15,13,4,0,21,7,7,8,20,18,19,17,8,13,19,17,12,5,20,2,24,18,0,26,22,6]	[6,7,25,4,14,16,10,15,25,13,19,11,5,20,24,9,16,7,24,3,20,19,6,6,10,4,5,28,2,8,26,8,15,13,4,0,21,7,7,8,20,18,19,17,8,13,19,17,12,5,20,2,24,18,6,0,22,26]
[16,6,13,24,21,27,21,13,10,28,12,19,10,1,0,28,1,6,17,18,18,22,1,13,8,19,13,5,4,11,22,12,17,27,29,1,24,20,14,27,18,27,16,28,20,8,26,21,14,5,2,25,19,3,8]	[16,6,13,24,21,27,21,13,10,28,12,19,10,1,0,28,1,6,17,18,18,22,1,13,8,19,13,5,4,11,22,12,17,27,29,1,24,20,14,27,18,27,16,28,20,8,26,21,14,5,2,25,19,8,3]
[14,13,25,10,25,9,23,4,6,22,5,23,12,20,20,0,9,28,20,29,6,17,12,21,14,14,8,4,9,8,24,24,21,19,26,8,20,19,13,26,3,18,19,15,0,1,7,1,29,28,22,6,7,5,19,13,19,19]	[14,13,25,10,25,9,23,4,6,22,5,23,12,20,20,0,9,28,20,29,6,17,12,21,14,14,8,4,9,8,24,24,21,19,26,8,20,19,13,26,3,18,19,15,0,1,7,1,29,28,22,6,7,5,19,19,13,19]
[29,27,3,15,10,14,11,19,4,1,24,23,26,4,12,12,27,6,11,28,5,1,21,3,0,26,14,14,7,25,23,28,22,27,13,25,3,17,14,8,10,0,1,6,4,5,18,23,11,22,22,9,15,5,4,16,23]	[29,27,3,15,10,14,11,19,4,1,24,23,26,4,12,12,27,6,11,28,5,1,21,3,0,26,14,14,7,25,23,28,22,27,13,25,3,17,14,8,10,0,1,6,4,5,18,23,11,22,22,9,15,5,4,23,16]
[22,0,6,15,21,29,4,4,16,8,21,0,8,1,22,9,8,18,6,18,12,10,2,4,19,18,1,15,26,24,26,18,16,3,25,7,24,22,4,10,22,17,2,0,11,16,1,19,4,29,29]	[22,0,6,15,21,29,4,4,16,8,21,0,8,1,22,9,8,18,6,18,12,10,2,4,19,18,1,15,26,24,26,18,16,3,25,7,24,22,4,10,22,17,2,0,11,16,1,19,29,4,29]
[9,24,12,20,12,13,6,8,29,2,18,16,27,13,15,13,5,19,15,19,7,9,19,10,25,12,21,0,12,20,16,13,6,29,4,18,4,10,18,4,4,28,12,24,12,27,7,9,9,23,29,8,24,10,18,20]	[9,24,12,20,12,13,6,8,29,2,18,16,27,13,15,13,5,19,15,19,7,9,19,10,25,12,21,0,12,20,16,13,6,29,4,18,4,10,18,4,4,28,12,24,12,27,7,9,9,23,29,8,24,10,20,18]
[9,20,19,21,28,2,28,27,6,8,24,8,19,28,13,17,10,7,21,29,6,23,0,21,14,8,16,16,26,6,1,27,18,12,19,16,15,9,14,13,17,8,22,28,28,27,16,0,4,29,21,2,22,22,24]	[9,20,19,21,28,2,28,27,6,8,24,8,19,28,13,17,10,7,21,29,6,23,0,21,14,8,16,16,26,6,1,27,18,12,19,16,15,9,14,13,17,8,22,28,28,27,16,0,4,29,21,2,22,24,22]
[0,2,23,19,8,16,8,26,29,27,12,6,28,18,19,8,18,11,6,8,0,14,8,4,14,22,29,6,14,15,5,14,17,20,25,17,6,4,13,5,23,17,3,22,28,23,0,8,26,6,9,27,21,9,23,27]	[0,2,23,19,8,16,8,26,29,27,12,6,28,18,19,8,18,11,6,8,0,14,8,4,14,22,29,6,14,15,5,14,17,20,25,17,6,4,13,5,23,17,3,22,28,23,0,8,26,6,9,27,21,9,27,23]
[22,3,15,7,0,22,16,20,17,3,27,21,8,24,7,26,28,29,16,13,29,16,9,27,25,6,10,5,22,7,6,6,3,22,14,3,6,0,24,23,26,13,7,4,29,14,22,19,13,8,2]	[22,3,15,7,0,22,16,20,17,3,27,21,8,24,7,26,28,29,16,13,29,16,9,27,25,6,10,5,22,7,6,6,3,22,14,3,6,0,24,23,26,13,7,4,29,19,2,8,13,14,22]
[25,4,23,12,2,4,17,24,11,16,1,6,8,7,10,14,29,26,29,25,1,6,0,22,12,22,12,17,23,6,21,10,10,7,22,13,11,10,7,14,18,0,21,18,7,23,24,7,11,23,24,4,22,24]	[25,4,23,12,2,4,17,24,11,16,1,6,8,7,10,14,29,26,29,25,1,6,0,22,12,22,12,17,23,6,21,10,10,7,22,13,11,10,7,14,18,0,21,18,7,23,24,7,11,23,24,4,24,22]
[4,9,8,14,2,15,27,12,17,4,4,0,15,6,0,0,24,0,13,12,0,28,6,29,9,22,23,5,14,18,1,10,27,2,24,29,9,22,3,26,26,7,27,4,6,19,26,0,19,9,5,11,7,3,10,8]	[4,9,8,14,2,15,27,12,17,4,4,0,15,6,0,0,24,0,13,12,0,28,6,29,9,22,23,5,14,18,1,10,27,2,24,29,9,22,3,26,26,7,27,4,6,19,26,0,19,9,5,11,7,8,3,10]
[4,13,9,14,6,12,3,8,6,2,17,20,27,6,17,4,3,21,2,14,17,25,25,18,0,7,17,3,17,17,29,13,22,0,27,28,12,0,7,11,24,16,1,21,22,18,18,17,1,20,1,10,7,19,20]	[4,13,9,14,6,12,3,8,6,2,17,20,27,6,17,4,3,21,2,14,17,25,25,18,0,7,17,3,17,17,29,13,22,0,27,28,12,0,7,11,24,16,1,21,22,18,18,17,1,20,1,10,7,20,19]
[26,29,3,13,16,24,19,8,24,16,29,29,17,28,10,11,14,3,25,29,14,13,8,15,25,2,18,3,21,8,2,17,0,5,22,16,21,11,17,8,28,16,7,7,14,9,10,20,12,27,11,26,2,20,4,28,22]	[26,29,3,13,16,24,19,8,24,16,29,29,17,28,10,11,14,3,25,29,14,13,8,15,25,2,18,3,21,8,2,17,0,5,22,16,21,11,17,8,28,16,7,7,14,9,10,20,12,27,11,26,2,20,22,4,28]
[23,13,22,17,22,14,15,14,1,6,18,10,14,8,18,13,15,2,14,17,14,27,15,26,15,17,16,19,7,0,3,22,13,18,10,5,2,25,11,25,1,21,5,8,29,23,13,6,17,28,16,2]	[23,13,22,17,22,14,15,14,1,6,18,10,14,8,18,13,15,2,14,17,14,27,15,26,15,17,16,19,7,0,3,22,13,18,10,5,2,25,11,25,1,21,5,8,29,23,13,6,28,2,16,17]
[1,20,10,10,28,22,18,28,17,10,11,5,20,8,0,7,11,25,1,3,23,9,24,8,22,23,26,20,9,20,7,10,2,10,20,0,24,0,28,11,11,9,9,23,9,9,1,12,26,24,7,19,3,2,28]	[1,20,10,10,28,22,18,28,17,10,11,5,20,8,0,7,11,25,1,3,23,9,24,8,22,23,26,20,9,20,7,10,2,10,20,0,24,0,28,11,11,9,9,23,9,9,1,12,26,24,7,19,3,28,2]
[25,16,0,4,6,29,6,8,9,26,8,25,19,28,7,0,7,8,15,8,17,8,20,5,2,28,25,27,22,15,7,9,1,7,13,29,6,19,29,8,7,7,3,26,5,2,18,4,10,26,4,19,26,16,25,29,6]	[25,16,0,4,6,29,6,8,9,26,8,25,19,28,7,0,7,8,15,8,17,8,20,5,2,28,25,27,22,15,7,9,1,7,13,29,6,19,29,8,7,7,3,26,5,2,18,4,10,26,4,19,26,16,29,6,25]
[18,28,27,25,7,20,2,12,19,1,23,18,1,23,17,26,11,14,29,22,10,1,18,6,13,14,22,0,5,29,4,24,19,1,19,19,13,14,1,2,15,17,12,16,10,21,4,21,5,3,5,7]	[18,28,27,25,7,20,2,12,19,1,23,18,1,23,17,26,11,14,29,22,10,1,18,6,13,14,22,0,5,29,4,24,19,1,19,19,13,14,1,2,15,17,12,16,10,21,4,21,5,3,7,5]
[23,13,2,0,27,24,27,26,28,21,8,29,3,27,12,17,20,6,24,7,10,2,9,1,6,23,28,2,28,5,29,22,10,23,14,7,17,11,26,15,25,4,6,28,1,10,15,21,8,9,21,18,11,0,19,17,23]	[23,13,2,0,27,24,27,26,28,21,8,29,3,27,12,17,20,6,24,7,10,2,9,1,6,23,28,2,28,5,29,22,10,23,14,7,17,11,26,15,25,4,6,28,1,10,15,21,8,9,21,18,11,0,19,23,17]
[11,22,6,2,6,16,25,20,15,4,23,11,19,18,7,17,16,8,27,23,22,5,24,13,15,27,5,26,15,29,5,18,13,3,21,19,19,16,1,27,21,24,0,2,5,8,20,21,16,9,7,0,15,1,13,22,29,19,19]	[11,22,6,2,6,16,25,20,15,4,23,11,19,18,7,17,16,8,27,23,22,5,24,13,15,27,5,26,15,29,5,18,13,3,21,19,19,16,1,27,21,24,0,2,5,8,20,21,16,9,7,0,15,1,13,29,19,19,22]
[10,16,24,23,20,15,4,1,24,5,28,15,21,29,9,26,7,29,10,15,9,17,16,16,18,21,8,9,2,19,15,4,6,2,27,26,17,1,27,11,28,26,18,20,17,28,16,16,19,26,1,28,5,9,6,16]	[10,16,24,23,20,15,4,1,24,5,28,15,21,29,9,26,7,29,10,15,9,17,16,16,18,21,8,9,2,19,15,4,6,2,27,26,17,1,27,11,28,26,18,20,17,28,16,16,19,26,1,28,5,9,16,6]
[7,25,25,26,3,0,2,5,19,28,22,13,18,26,11,6,6,1,23,4,10,9,16,28,2,6,4,12,13,20,5,20,7,22,8,10,22,3,15,4,23,0,17,11,18,28,17,24,22,2,21]	[7,25,25,26,3,0,2,5,19,28,22,13,18,26,11,6,6,1,23,4,10,9,16,28,2,6,4,12,13,20,5,20,7,22,8,10,22,3,15,4,23,0,17,11,18,28,17,24,22,21,2]
[11,7,22,6,13,26,10,18,8,7,0,8,29,9,18,14,12,26,18,27,18,5,9,28,3,26,14,17,21,5,19,24,4,12,0,10,0,10,28,1,17,21,9,9,0,19,23,4,7,3,1,17]	[11,7,22,6,13,26,10,18,8,7,0,8,29,9,18,14,12,26,18,27,18,5,9,28,3,26,14,17,21,5,19,24,4,12,0,10,0,10,28,1,17,21,9,9,0,19,23,4,7,3,17,1]
[2,15,3,21,22,21,12,19,2,6,24,6,29,26,29,9,24,0,19,15,1,20,7,12,13,3,12,8,27,21,16,21,29,11,12,21,24,16,10,27,23,26,25,22,22,24,23,9,16,4,16,17,24,16,22,29,19,26]	[2,15,3,21,22,21,12,19,2,6,24,6,29,26,29,9,24,0,19,15,1,20,7,12,13,3,12,8,27,21,16,21,29,11,12,21,24,16,10,27,23,26,25,22,22,24,23,9,16,4,16,17,24,16,22,29,26,19]
[8,17,15,22,16,27,4,7,21,21,18,10,6,6,6,20,29,0,5,8,17,10,24,26,26,10,10,26,22,6,25,22,24,11,14,2,0,11,10,13,24,20,24,0,26,22,12,17,22,17,25,1,19,20,20,16,22]	[8,17,15,22,16,27,4,7,21,21,18,10,6,6,6,20,29,0,5,8,17,10,24,26,26,10,10,26,22,6,25,22,24,11,14,2,0,11,10,13,24,20,24,0,26,22,12,17,22,17,25,1,19,20,20,22,16]
[12,14,29,29,29,15,10,13,17,10,24,19,24,18,9,10,10,28,2,22,15,16,2,11,18,21,23,0,7,7,22,11,14,21,11,13,6,13,18,16,16,13,5,2,23,7,12,26,5,6]	[12,14,29,29,29,15,10,13,17,10,24,19,24,18,9,10,10,28,2,22,15,16,2,11,18,21,23,0,7,7,22,11,14,21,11,13,6,13,18,16,16,13,5,2,23,7,12,26,6,5]
[20,22,12,23,2,4,8,2,3,8,25,7,22,8,18,27,7,23,15,23,9,20,28,11,6,5,15,2,2,21,12,15,6,25,8,8,29,9,3,24,17,20,1,1,20,11,28,27,5,13,20,6,26,11,18,2,8,25]	[20,22,12,23,2,4,8,2,3,8,25,7,22,8,18,27,7,23,15,23,9,20,28,11,6,5,15,2,2,21,12,15,6,25,8,8,29,9,3,24,17,20,1,1,20,11,28,27,5,13,20,6,26,11,18,2,25,8]
[3,9,16,18,15,11,18,15,2,19,10,27,6,0,20,7,13,2,27,10,7,11,23,13,7,26,23,9,26,19,5,29,28,21,17,5,3,28,20,27,17,23,24,16,15,15,15,28,9,13,9,16,16,24]	[3,9,16,18,15,11,18,15,2,19,10,27,6,0,20,7,13,2,27,10,7,11,23,13,7,26,23,9,26,19,5,29,28,21,17,5,3,28,20,27,17,23,24,16,15,15,15,28,9,13,9,16,24,16]
[15,20,7,16,16,18,21,16,8,12,25,13,7,23,25,5,11,18,21,27,26,28,12,24,7,17,3,23,3,27,7,18,9,6,4,26,24,25,4,2,0,29,7,7,15,24,4,26,5,26,15]	[15,20,7,16,16,18,21,16,8,12,25,13,7,23,25,5,11,18,21,27,26,28,12,24,7,17,3,23,3,27,7,18,9,6,4,26,24,25,4,2,0,29,7,7,15,24,4,26,15,5,26]
[24,19,25,2,7,21,17,10,10,16,21,20,22,25,8,16,13,12,10,13,11,9,12,26,26,17,14,1,13,21,24,29,11,11,1,10,2,11,12,5,27,3,25,20,21,25,28,26,7,1,9]	[24,19,25,2,7,21,17,10,10,16,21,20,22,25,8,16,13,12,10,13,11,9,12,26,26,17,14,1,13,21,24,29,11,11,1,10,2,11,12,5,27,3,25,20,21,25,28,26,7,9,1]
[2,13,29,28,0,13,21,5,27,7,27,0,19,28,10,13,1,14,18,29,10,5,11,23,0,1,19,29,2,20,10,27,3,9,17,26,14,9,23,3,8,20,3,27,11,5,11,12,12,21]	[2,13,29,28,0,13,21,5,27,7,27,0,19,28,10,13,1,14,18,29,10,5,11,23,0,1,19,29,2,20,10,27,3,9,17,26,14,9,23,3,8,20,3,27,11,5,11,12,21,12]
[22,27,14,15,19,16,4,19,10,24,21,7,19,0,25,15,6,26,1,10,4,21,5,2,24,3,5,7,15,26,2,7,15,17,14,5,3,18,16,13,4,7,21,23,29,8,1,27,4,2,29,8,15]	[22,27,14,15,19,16,4,19,10,24,21,7,19,0,25,15,6,26,1,10,4,21,5,2,24,3,5,7,15,26,2,7,15,17,14,5,3,18,16,13,4,7,21,23,29,8,1,27,4,2,29,15,8]
[2,2,0,7,1,15,26,3,22,11,20,28,8,15,16,24,29,12,23,12,27,22,12,28,12,16,22,11,16,0,8,19,2,8,18,25,15,14,28,29,18,19,27,26,4,5,13,25,17,6,29,15,21,11,5]	[2,2,0,7,1,15,26,3,22,11,20,28,8,15,16,24,29,12,23,12,27,22,12,28,12,16,22,11,16,0,8,19,2,8,18,25,15,14,28,29,18,19,27,26,4,5,13,25,17,6,29,21,5,11,15]
[19,20,6,6,12,7,17,6,7,5,1,23,12,29,22,0,10,20,18,7,25,1,24,5,0,24,20,13,27,17,8,17,7,14,23,11,13,10,17,21,7,18,6,11,10,28,3,20,10,22,19,6,15,14,3]	[19,20,6,6,12,7,17,6,7,5,1,23,12,29,22,0,10,20,18,7,25,1,24,5,0,24,20,13,27,17,8,17,7,14,23,11,13,10,17,21,7,18,6,11,10,28,3,20,10,22,19,14,3,6,15]
[0,15,20,27,2,28,14,2,5,7,13,18,9,1,1,9,19,7,20,29,6,16,12,8,8,1,6,15,7,9,23,7,24,5,5,27,4,19,21,9,19,4,19,20,5,21,21,17,28,12,8,26,28,20,5,28,14]	[0,15,20,27,2,28,14,2,5,7,13,18,9,1,1,9,19,7,20,29,6,16,12,8,8,1,6,15,7,9,23,7,24,5,5,27,4,19,21,9,19,4,19,20,5,21,21,17,28,12,8,26,28,20,14,5,28]
[5,21,21,20,29,15,26,26,4,22,15,25,1,26,0,20,9,27,3,0,6,2,4,15,20,2,27,25,22,3,29,20,17,20,10,16,27,28,4,24,20,11,19,21,8,11,4,9,1,7,9]	[5,21,21,20,29,15,26,26,4,22,15,25,1,26,0,20,9,27,3,0,6,2,4,15,20,2,27,25,22,3,29,20,17,20,10,16,27,28,4,24,20,11,19,21,8,11,4,9,1,9,7]
[1,14,14,22,8,4,9,23,29,8,13,16,20,15,24,10,14,28,4,4,10,23,18,10,27,14,19,28,13,28,27,15,4,4,29,13,8,8,28,7,9,11,16,29,18,10,9,2,9,13,29,19,29,17,29,26,23]	[1,14,14,22,8,4,9,23,29,8,13,16,20,15,24,10,14,28,4,4,10,23,18,10,27,14,19,28,13,28,27,15,4,4,29,13,8,8,28,7,9,11,16,29,18,10,9,2,9,13,29,19,29,23,17,26,29]
[16,6,8,13,13,5,17,12,10,17,13,8,17,22,11,3,13,29,5,23,2,14,28,23,25,19,2,16,7,25,26,23,1,27,29,15,2,8,19,12,18,2,20,5,24,1,0,0,22,5]	[16,6,8,13,13,5,17,12,10,17,13,8,17,22,11,3,13,29,5,23,2,14,28,23,25,19,2,16,7,25,26,23,1,27,29,15,2,8,19,12,18,2,20,5,24,1,0,5,0,22]
[16,12,13,9,7,25,11,24,2,28,12,18,22,9,9,29,11,9,18,15,27,13,5,24,29,28,24,29,13,22,14,29,4,28,9,3,23,12,19,17,3,2,5,25,3,6,24,7,16,4,22,13,17]	[16,12,13,9,7,25,11,24,2,28,12,18,22,9,9,29,11,9,18,15,27,13,5,24,29,28,24,29,13,22,14,29,4,28,9,3,23,12,19,17,3,2,5,25,3,6,24,7,16,4,22,17,13]
[0,17,10,16,16,23,8,1,23,4,21,24,8,6,28,27,15,1,29,13,18,3,19,4,2,5,9,24,11,18,14,11,27,17,19,14,10,28,7,25,24,20,19,2,18,10,0,3,11,21]	[0,17,10,16,16,23,8,1,23,4,21,24,8,6,28,27,15,1,29,13,18,3,19,4,2,5,9,24,11,18,14,11,27,17,19,14,10,28,7,25,24,20,19,2,18,10,0,3,21,11]
[22,16,6,26,18,3,27,5,14,16,11,17,13,28,29,19,9,19,18,26,13,8,8,16,26,18,8,22,21,21,8,13,8,6,10,18,10,7,23,16,15,5,26,29,3,25,10,4,14,29,23,27,7,1,5,26]	[22,16,6,26,18,3,27,5,14,16,11,17,13,28,29,19,9,19,18,26,13,8,8,16,26,18,8,22,21,21,8,13,8,6,10,18,10,7,23,16,15,5,26,29,3,25,10,4,14,29,23,27,7,1,26,5]
[13,18,10,27,18,16,5,25,18,23,5,17,9,21,3,14,17,24,9,4,4,6,18,25,29,8,25,22,13,21,11,19,1,13,16,19,21,13,14,9,28,11,27,29,3,0,13,12,16,15,9,12,13,27,8,4,27,3,26]	[13,18,10,27,18,16,5,25,18,23,5,17,9,21,3,14,17,24,9,4,4,6,18,25,29,8,25,22,13,21,11,19,1,13,16,19,21,13,14,9,28,11,27,29,3,0,13,12,16,15,9,12,13,27,8,4,27,26,3]
[16,29,22,17,12,0,28,4,5,13,5,25,24,2,25,19,24,0,24,10,15,3,15,20,22,23,24,20,26,12,23,12,11,7,21,24,29,19,20,26,24,25,21,11,20,16,22,6,17,16,9,24,11]	[16,29,22,17,12,0,28,4,5,13,5,25,24,2,25,19,24,0,24,10,15,3,15,20,22,23,24,20,26,12,23,12,11,7,21,24,29,19,20,26,24,25,21,11,20,16,22,6,17,16,11,9,24]
[15,26,17,1,16,5,14,1,9,17,0,0,11,21,11,23,17,6,11,8,17,23,17,1,29,4,10,8,20,21,24,27,17,3,29,25,8,5,18,17,22,18,9,26,9,21,11,18,19,14,27,28,7,14]	[15,26,17,1,16,5,14,1,9,17,0,0,11,21,11,23,17,6,11,8,17,23,17,1,29,4,10,8,20,21,24,27,17,3,29,25,8,5,18,17,22,18,9,26,9,21,11,18,19,14,27,28,14,7]
[29,10,9,29,0,23,24,28,2,27,19,20,6,16,8,15,0,19,17,26,20,8,0,9,19,14,28,17,22,4,8,21,14,18,20,6,3,6,26,5,4,7,17,2,15,26,9,16,7,26,4,27,4,4,6,23,19,26,2]	[29,10,9,29,0,23,24,28,2,27,19,20,6,16,8,15,0,19,17,26,20,8,0,9,19,14,28,17,22,4,8,21,14,18,20,6,3,6,26,5,4,7,17,2,15,26,9,16,7,26,4,27,4,4,6,23,26,2,19]
[0,11,16,6,21,28,5,24,5,1,21,1,1,9,3,16,27,12,24,4,1,29,1,5,25,0,21,6,26,15,9,27,26,17,3,9,16,8,25,13,2,17,6,25,18,1,3,15,13,28,19,6,19]	[0,11,16,6,21,28,5,24,5,1,21,1,1,9,3,16,27,12,24,4,1,29,1,5,25,0,21,6,26,15,9,27,26,17,3,9,16,8,25,13,2,17,6,25,18,1,3,15,13,28,19,19,6]
[12,14,12,25,21,9,2,22,6,21,10,1,0,18,2,26,23,26,5,29,13,23,0,16,8,5,6,19,12,25,1,16,10,14,3,1,15,5,23,13,26,25,14,19,13,8,15,28,26,20,27,9]	[12,14,12,25,21,9,2,22,6,21,10,1,0,18,2,26,23,26,5,29,13,23,0,16,8,5,6,19,12,25,1,16,10,14,3,1,15,5,23,13,26,25,14,19,13,8,15,28,26,27,9,20]
[27,26,13,3,2,24,7,28,25,23,0,9,26,23,24,1,8,29,20,4,14,9,9,14,24,8,11,6,5,20,11,25,8,16,20,11,10,27,1,27,20,23,29,8,16,15,1,24,15,21,20,29,0,0,5]	[27,26,13,3,2,24,7,28,25,23,0,9,26,23,24,1,8,29,20,4,14,9,9,14,24,8,11,6,5,20,11,25,8,16,20,11,10,27,1,27,20,23,29,8,16,15,1,24,15,21,20,29,0,5,0]
[0,16,14,5,7,17,22,7,3,12,18,5,9,11,3,21,4,2,29,20,9,1,7,24,22,27,15,15,27,21,23,27,7,8,25,6,25,17,14,21,22,24,26,1,28,21,15,2,15,14,15,25,7,22,19,22]	[0,16,14,5,7,17,22,7,3,12,18,5,9,11,3,21,4,2,29,20,9,1,7,24,22,27,15,15,27,21,23,27,7,8,25,6,25,17,14,21,22,24,26,1,28,21,15,2,15,14,15,25,7,22,22,19]
